feature,dtype,is_categorical,non_null_count,non_null_pct,mean,std,min,max
noncoding.length,int64,False,5749,100.0,115.17046442859628,460.4815554009233,0.0,25977.0
cdsseqs_UC_content,float64,False,5749,100.0,0.47622429864547006,0.03607891392173124,0.287179487179487,0.600600600600601
cdsseqs_AU_content,float64,False,5749,100.0,0.47321000595280543,0.08345521996025569,0.275058275058275,0.666666666666667
cdsseq_AUcontentlast100,float64,False,5749,100.0,0.48151504609497314,0.1039023750455359,0.17,0.77
cdsseq_UCcontentlast100,float64,False,5749,100.0,0.472819620803618,0.076096935245241,0.18,0.76
cdsseq_AUcontentfirst100,float64,False,5749,100.0,0.41198817185597497,0.11283311094173062,0.07,0.72
cdsseq_UCcontentfirst100,float64,False,5749,100.0,0.47739085058271014,0.07260303642055424,0.23,0.79
cdsseq_AUcontentlast200,float64,False,5744,99.91302835275701,0.476484606018438,0.09698602899590976,0.0,0.71
cdsseq_UCcontentlast200,float64,False,5744,99.91302835275701,0.47444164202469996,0.06144868421484814,0.0,0.665
cdsseq_AUcontentfirst200,float64,False,5744,99.91302835275701,0.43207253435380066,0.10239259419539881,0.0,0.725
cdsseq_UCcontentfirst200,float64,False,5744,99.91302835275701,0.4759862584797356,0.056757302839479135,0.0,0.705
threeutrseqs.uORF,object,True,5749,100.0,,,,
threeUTR_AU_content,float64,False,5656,98.38232736128022,0.5397903041152087,0.12774964211474965,0.0,1.0
threeUTR_UC_content,float64,False,5656,98.38232736128022,0.5031849524929574,0.07906689282165971,0.0,1.0
ThreeUTR_UCcontentlast100,float64,False,5347,93.0074795616629,0.46892676987302134,0.14473722870796932,0.0,0.82
ThreeUTR_UCcontentfirst100,float64,False,5347,93.0074795616629,0.47477648286658547,0.14800179014208323,0.0,0.82
ThreeUTR_AUcontentfirst100,float64,False,5347,93.0074795616629,0.4697669159853888,0.18245202592841525,0.0,0.82
ThreeUTR_AUcontentlast100,float64,False,5347,93.0074795616629,0.5815446164550357,0.1932915828833423,0.0,0.86
fiveutrseqs.uORF,object,True,5749,100.0,,,,
fiveUTR_AU_content,float64,False,5657,98.39972169072882,0.34328689461490575,0.11672316913843087,0.0,0.875
fiveUTR_UC_content,float64,False,5657,98.39972169072882,0.4797557907947579,0.10226111854708075,0.0,1.0
fiveUTR_AUcontentlast100,float64,False,3979,69.21203687597843,0.25091494172899637,0.19642117567725736,0.0,0.76
fiveUTR_AUcontentfirst100,float64,False,3979,69.21203687597843,0.24390502696121066,0.1880639892362354,0.0,0.74
fiveUTR_UCcontentlast100,float64,False,3979,69.21203687597843,0.3435867107323013,0.23947970526091342,0.0,0.84
fiveUTR_UCcontentfirst100,float64,False,3979,69.21203687597843,0.33758914593842404,0.23696724870625543,0.0,0.79
threeUTR.introns,object,True,5749,100.0,,,,
threeUTR.PTBP1,object,True,5749,100.0,,,,
fiveUTR.introns,object,True,5749,100.0,,,,
cdsseq.introns,object,True,5749,100.0,,,,
mut.exon,int64,False,5749,100.0,8.182640459210297,8.467530060777525,1.0,143.0
length.mutated.exon,int64,False,5749,100.0,298.8460601843799,511.11384922446103,15.0,17331.0
first.200,object,True,5749,100.0,,,,
first.100,object,True,5749,100.0,,,,
long.exon,object,True,5749,100.0,,,,
relativePTClocation,float64,False,5749,100.0,0.5371668880482813,0.2918329430694282,0.0021971123666038,0.999363381716323
AmountExonsAfter,int64,False,5749,100.0,5.652461297616977,6.9030670227243,0.0,89.0
PTC_dist_exon_start_1b,int64,False,5749,100.0,155.3452774395547,291.0783497798444,1.0,4629.0
relPTC_exon,float64,False,5749,100.0,0.5115024193550294,0.2867371772717533,0.0034722222222222,1.0
loeuf_cat,object,True,5749,100.0,,,,
pLI.cat,object,True,5749,100.0,,,,
MedianExpression_log2,float64,False,5712,99.35640981040181,3.73380404620413,1.5193406363880055,0.0,11.6724098718131
half_life_PC1,float64,False,5278,91.80727082970952,1.0294044845175763,4.139507137081785,-17.184706486872,15.8291864611467
CADD_phred,float64,False,5703,99.19986084536441,37.97445173073579,5.044820204003235,0.172,89.0
gnomAD_exome_ALL,float64,False,3964,68.95112193424944,0.00044847523204035486,0.010886308758742155,0.0,0.5948
PTC.minus1.aa,object,True,5749,100.0,,,,
PTC.minus2.aa,object,True,5749,100.0,,,,
PTC.plus1.aa,object,True,5749,100.0,,,,
PTC.plus2.aa,object,True,5749,100.0,,,,
last.EJC,object,True,5749,100.0,,,,
EJC.downstream.cut,object,True,5749,100.0,,,,
minus1_is_G,object,True,5749,100.0,,,,
minus2_is_G,object,True,5749,100.0,,,,
plus1_is_G,object,True,5749,100.0,,,,
plus2_is_G,object,True,5749,100.0,,,,
log2_3utr,float64,False,5656,98.38232736128022,9.2479219585771,2.1044018229986823,0.0,15.0044838359677
log2newUTR,float64,False,5656,98.38232736128022,10.478752826359536,1.8170653058604005,0.0,15.0478055540076
log2_CDS,float64,False,5749,100.0,10.706050422666221,0.9789141185122889,7.467605550083,14.6879223866313
log2_5utr,float64,False,5657,98.39972169072882,7.104635691672664,1.6331845331363286,0.0,11.6479080742818
utr3_all.A1CF,object,True,5749,100.0,,,,
utr3_all.AGO1,object,True,5749,100.0,,,,
utr3_all.AGO2,object,True,5749,100.0,,,,
utr3_all.AKAP1,object,True,5749,100.0,,,,
utr3_all.ANKHD1,object,True,5749,100.0,,,,
utr3_all.CELF1,object,True,5749,100.0,,,,
utr3_all.CELF4,object,True,5749,100.0,,,,
utr3_all.CELF5,object,True,5749,100.0,,,,
utr3_all.CELF6,object,True,5749,100.0,,,,
utr3_all.CNOT4,object,True,5749,100.0,,,,
utr3_all.CPEB2,object,True,5749,100.0,,,,
utr3_all.CPEB4,object,True,5749,100.0,,,,
utr3_all.CSTF2,object,True,5749,100.0,,,,
utr3_all.DAZAP1,object,True,5749,100.0,,,,
utr3_all.EIF4B,object,True,5749,100.0,,,,
utr3_all.ELAVL1,object,True,5749,100.0,,,,
utr3_all.ELAVL2,object,True,5749,100.0,,,,
utr3_all.ELAVL3,object,True,5749,100.0,,,,
utr3_all.ELAVL4,object,True,5749,100.0,,,,
utr3_all.ENOX1,object,True,5749,100.0,,,,
utr3_all.ERI1,object,True,5749,100.0,,,,
utr3_all.ESRP2,object,True,5749,100.0,,,,
utr3_all.FMR1,object,True,5749,100.0,,,,
utr3_all.FUS,object,True,5749,100.0,,,,
utr3_all.FXR1,object,True,5749,100.0,,,,
utr3_all.FXR2,object,True,5749,100.0,,,,
utr3_all.G3BP1,object,True,5749,100.0,,,,
utr3_all.G3BP2,object,True,5749,100.0,,,,
utr3_all.HNRNPA1,object,True,5749,100.0,,,,
utr3_all.HNRNPA1L2,object,True,5749,100.0,,,,
utr3_all.HNRNPA2B1,object,True,5749,100.0,,,,
utr3_all.HNRNPA3,object,True,5749,100.0,,,,
utr3_all.HNRNPAB,object,True,5749,100.0,,,,
utr3_all.HNRNPC,object,True,5749,100.0,,,,
utr3_all.HNRNPD,object,True,5749,100.0,,,,
utr3_all.HNRNPDL,object,True,5749,100.0,,,,
utr3_all.HNRNPF,object,True,5749,100.0,,,,
utr3_all.HNRNPH1,object,True,5749,100.0,,,,
utr3_all.HNRNPH2,object,True,5749,100.0,,,,
utr3_all.HNRNPH3,object,True,5749,100.0,,,,
utr3_all.HNRNPK,object,True,5749,100.0,,,,
utr3_all.HNRNPL,object,True,5749,100.0,,,,
utr3_all.HNRNPLL,object,True,5749,100.0,,,,
utr3_all.HNRNPM,object,True,5749,100.0,,,,
utr3_all.HNRNPU,object,True,5749,100.0,,,,
utr3_all.IFIH1,object,True,5749,100.0,,,,
utr3_all.IGF2BP1,object,True,5749,100.0,,,,
utr3_all.IGF2BP2,object,True,5749,100.0,,,,
utr3_all.IGF2BP3,object,True,5749,100.0,,,,
utr3_all.IGHMBP2,object,True,5749,100.0,,,,
utr3_all.KHDRBS1,object,True,5749,100.0,,,,
utr3_all.KHDRBS2,object,True,5749,100.0,,,,
utr3_all.KHDRBS3,object,True,5749,100.0,,,,
utr3_all.KHSRP,object,True,5749,100.0,,,,
utr3_all.LIN28A,object,True,5749,100.0,,,,
utr3_all.MATR3,object,True,5749,100.0,,,,
utr3_all.MBNL1,object,True,5749,100.0,,,,
utr3_all.MSI1,object,True,5749,100.0,,,,
utr3_all.NELFE,object,True,5749,100.0,,,,
utr3_all.NONO,object,True,5749,100.0,,,,
utr3_all.NOVA1,object,True,5749,100.0,,,,
utr3_all.NOVA2,object,True,5749,100.0,,,,
utr3_all.PABPC1,object,True,5749,100.0,,,,
utr3_all.PABPC3,object,True,5749,100.0,,,,
utr3_all.PABPC5,object,True,5749,100.0,,,,
utr3_all.PABPN1,object,True,5749,100.0,,,,
utr3_all.PCBP1,object,True,5749,100.0,,,,
utr3_all.PCBP2,object,True,5749,100.0,,,,
utr3_all.PPRC1,object,True,5749,100.0,,,,
utr3_all.PTBP1,object,True,5749,100.0,,,,
utr3_all.PUM1,object,True,5749,100.0,,,,
utr3_all.PUM2,object,True,5749,100.0,,,,
utr3_all.QKI,object,True,5749,100.0,,,,
utr3_all.RALY,object,True,5749,100.0,,,,
utr3_all.RBFOX1,object,True,5749,100.0,,,,
utr3_all.RBM14,object,True,5749,100.0,,,,
utr3_all.RBM24,object,True,5749,100.0,,,,
utr3_all.RBM25,object,True,5749,100.0,,,,
utr3_all.RBM28,object,True,5749,100.0,,,,
utr3_all.RBM4,object,True,5749,100.0,,,,
utr3_all.RBM41,object,True,5749,100.0,,,,
utr3_all.RBM42,object,True,5749,100.0,,,,
utr3_all.RBM46,object,True,5749,100.0,,,,
utr3_all.RBM5,object,True,5749,100.0,,,,
utr3_all.RBM6,object,True,5749,100.0,,,,
utr3_all.RBM8A,object,True,5749,100.0,,,,
utr3_all.RBMS1,object,True,5749,100.0,,,,
utr3_all.RBMS3,object,True,5749,100.0,,,,
utr3_all.RBMX,object,True,5749,100.0,,,,
utr3_all.RBMY1A1,object,True,5749,100.0,,,,
utr3_all.RC3H1,object,True,5749,100.0,,,,
utr3_all.SAMD4A,object,True,5749,100.0,,,,
utr3_all.SART3,object,True,5749,100.0,,,,
utr3_all.SF1,object,True,5749,100.0,,,,
utr3_all.SFPQ,object,True,5749,100.0,,,,
utr3_all.SNRNP70,object,True,5749,100.0,,,,
utr3_all.SNRPA,object,True,5749,100.0,,,,
utr3_all.SNRPB2,object,True,5749,100.0,,,,
utr3_all.SRP14,object,True,5749,100.0,,,,
utr3_all.SRSF1,object,True,5749,100.0,,,,
utr3_all.SRSF10,object,True,5749,100.0,,,,
utr3_all.SRSF2,object,True,5749,100.0,,,,
utr3_all.SRSF3,object,True,5749,100.0,,,,
utr3_all.SRSF4,object,True,5749,100.0,,,,
utr3_all.SRSF5,object,True,5749,100.0,,,,
utr3_all.SRSF6,object,True,5749,100.0,,,,
utr3_all.SRSF7,object,True,5749,100.0,,,,
utr3_all.SRSF9,object,True,5749,100.0,,,,
utr3_all.SSB,object,True,5749,100.0,,,,
utr3_all.TARDBP,object,True,5749,100.0,,,,
utr3_all.TIA1,object,True,5749,100.0,,,,
utr3_all.TIAL1,object,True,5749,100.0,,,,
utr3_all.TRA2A,object,True,5749,100.0,,,,
utr3_all.TRA2B,object,True,5749,100.0,,,,
utr3_all.TUT1,object,True,5749,100.0,,,,
utr3_all.U2AF2,object,True,5749,100.0,,,,
utr3_all.YBX1,object,True,5749,100.0,,,,
utr3_all.YBX2,object,True,5749,100.0,,,,
utr3_all.ZC3H10,object,True,5749,100.0,,,,
utr3_all.ZCRB1,object,True,5749,100.0,,,,
utr3_all.ZFP36,object,True,5749,100.0,,,,
utr3_all.ZFP36L2,object,True,5749,100.0,,,,
utr3_all.ZNF638,object,True,5749,100.0,,,,
utr3_all.ZRANB2,object,True,5749,100.0,,,,
utr3_200.AGO1,object,True,5749,100.0,,,,
utr3_200.AGO2,object,True,5749,100.0,,,,
utr3_200.ANKHD1,object,True,5749,100.0,,,,
utr3_200.CELF1,object,True,5749,100.0,,,,
utr3_200.CELF4,object,True,5749,100.0,,,,
utr3_200.CELF5,object,True,5749,100.0,,,,
utr3_200.CELF6,object,True,5749,100.0,,,,
utr3_200.CNOT4,object,True,5749,100.0,,,,
utr3_200.CPEB2,object,True,5749,100.0,,,,
utr3_200.CPEB4,object,True,5749,100.0,,,,
utr3_200.CSTF2,object,True,5749,100.0,,,,
utr3_200.DAZAP1,object,True,5749,100.0,,,,
utr3_200.EIF4B,object,True,5749,100.0,,,,
utr3_200.ELAVL1,object,True,5749,100.0,,,,
utr3_200.ELAVL2,object,True,5749,100.0,,,,
utr3_200.ELAVL3,object,True,5749,100.0,,,,
utr3_200.ELAVL4,object,True,5749,100.0,,,,
utr3_200.ENOX1,object,True,5749,100.0,,,,
utr3_200.ERI1,object,True,5749,100.0,,,,
utr3_200.ESRP2,object,True,5749,100.0,,,,
utr3_200.FMR1,object,True,5749,100.0,,,,
utr3_200.FUS,object,True,5749,100.0,,,,
utr3_200.FXR1,object,True,5749,100.0,,,,
utr3_200.FXR2,object,True,5749,100.0,,,,
utr3_200.G3BP1,object,True,5749,100.0,,,,
utr3_200.G3BP2,object,True,5749,100.0,,,,
utr3_200.HNRNPA1,object,True,5749,100.0,,,,
utr3_200.HNRNPA1L2,object,True,5749,100.0,,,,
utr3_200.HNRNPA2B1,object,True,5749,100.0,,,,
utr3_200.HNRNPA3,object,True,5749,100.0,,,,
utr3_200.HNRNPAB,object,True,5749,100.0,,,,
utr3_200.HNRNPC,object,True,5749,100.0,,,,
utr3_200.HNRNPD,object,True,5749,100.0,,,,
utr3_200.HNRNPDL,object,True,5749,100.0,,,,
utr3_200.HNRNPF,object,True,5749,100.0,,,,
utr3_200.HNRNPH1,object,True,5749,100.0,,,,
utr3_200.HNRNPH2,object,True,5749,100.0,,,,
utr3_200.HNRNPH3,object,True,5749,100.0,,,,
utr3_200.HNRNPK,object,True,5749,100.0,,,,
utr3_200.HNRNPLL,object,True,5749,100.0,,,,
utr3_200.HNRNPM,object,True,5749,100.0,,,,
utr3_200.HNRNPU,object,True,5749,100.0,,,,
utr3_200.IFIH1,object,True,5749,100.0,,,,
utr3_200.IGF2BP1,object,True,5749,100.0,,,,
utr3_200.IGF2BP2,object,True,5749,100.0,,,,
utr3_200.IGF2BP3,object,True,5749,100.0,,,,
utr3_200.IGHMBP2,object,True,5749,100.0,,,,
utr3_200.KHDRBS1,object,True,5749,100.0,,,,
utr3_200.KHDRBS2,object,True,5749,100.0,,,,
utr3_200.LIN28A,object,True,5749,100.0,,,,
utr3_200.MATR3,object,True,5749,100.0,,,,
utr3_200.MBNL1,object,True,5749,100.0,,,,
utr3_200.NELFE,object,True,5749,100.0,,,,
utr3_200.NONO,object,True,5749,100.0,,,,
utr3_200.NOVA1,object,True,5749,100.0,,,,
utr3_200.NOVA2,object,True,5749,100.0,,,,
utr3_200.PABPC1,object,True,5749,100.0,,,,
utr3_200.PABPC3,object,True,5749,100.0,,,,
utr3_200.PABPC5,object,True,5749,100.0,,,,
utr3_200.PABPN1,object,True,5749,100.0,,,,
utr3_200.PCBP1,object,True,5749,100.0,,,,
utr3_200.PCBP2,object,True,5749,100.0,,,,
utr3_200.PTBP1,object,True,5749,100.0,,,,
utr3_200.PUM1,object,True,5749,100.0,,,,
utr3_200.PUM2,object,True,5749,100.0,,,,
utr3_200.QKI,object,True,5749,100.0,,,,
utr3_200.RALY,object,True,5749,100.0,,,,
utr3_200.RBFOX1,object,True,5749,100.0,,,,
utr3_200.RBM24,object,True,5749,100.0,,,,
utr3_200.RBM25,object,True,5749,100.0,,,,
utr3_200.RBM28,object,True,5749,100.0,,,,
utr3_200.RBM3,object,True,5749,100.0,,,,
utr3_200.RBM4,object,True,5749,100.0,,,,
utr3_200.RBM41,object,True,5749,100.0,,,,
utr3_200.RBM42,object,True,5749,100.0,,,,
utr3_200.RBM46,object,True,5749,100.0,,,,
utr3_200.RBM5,object,True,5749,100.0,,,,
utr3_200.RBM6,object,True,5749,100.0,,,,
utr3_200.RBM8A,object,True,5749,100.0,,,,
utr3_200.RBMS3,object,True,5749,100.0,,,,
utr3_200.RBMX,object,True,5749,100.0,,,,
utr3_200.RBMY1A1,object,True,5749,100.0,,,,
utr3_200.RC3H1,object,True,5749,100.0,,,,
utr3_200.SAMD4A,object,True,5749,100.0,,,,
utr3_200.SART3,object,True,5749,100.0,,,,
utr3_200.SF1,object,True,5749,100.0,,,,
utr3_200.SFPQ,object,True,5749,100.0,,,,
utr3_200.SNRNP70,object,True,5749,100.0,,,,
utr3_200.SNRPA,object,True,5749,100.0,,,,
utr3_200.SNRPB2,object,True,5749,100.0,,,,
utr3_200.SRP14,object,True,5749,100.0,,,,
utr3_200.SRSF1,object,True,5749,100.0,,,,
utr3_200.SRSF10,object,True,5749,100.0,,,,
utr3_200.SRSF2,object,True,5749,100.0,,,,
utr3_200.SRSF3,object,True,5749,100.0,,,,
utr3_200.SRSF4,object,True,5749,100.0,,,,
utr3_200.SRSF5,object,True,5749,100.0,,,,
utr3_200.SRSF6,object,True,5749,100.0,,,,
utr3_200.SRSF7,object,True,5749,100.0,,,,
utr3_200.SRSF9,object,True,5749,100.0,,,,
utr3_200.SSB,object,True,5749,100.0,,,,
utr3_200.TARDBP,object,True,5749,100.0,,,,
utr3_200.TIA1,object,True,5749,100.0,,,,
utr3_200.TIAL1,object,True,5749,100.0,,,,
utr3_200.TRA2A,object,True,5749,100.0,,,,
utr3_200.TRA2B,object,True,5749,100.0,,,,
utr3_200.U2AF2,object,True,5749,100.0,,,,
utr3_200.YBX1,object,True,5749,100.0,,,,
utr3_200.YBX2,object,True,5749,100.0,,,,
utr3_200.ZC3H10,object,True,5749,100.0,,,,
utr3_200.ZCRB1,object,True,5749,100.0,,,,
utr3_200.ZFP36,object,True,5749,100.0,,,,
utr3_200.ZFP36L2,object,True,5749,100.0,,,,
utr3_200.ZRANB2,object,True,5749,100.0,,,,
ptc_to_ejc.A1CF,object,True,5749,100.0,,,,
ptc_to_ejc.CELF1,object,True,5749,100.0,,,,
ptc_to_ejc.CELF4,object,True,5749,100.0,,,,
ptc_to_ejc.CELF5,object,True,5749,100.0,,,,
ptc_to_ejc.CELF6,object,True,5749,100.0,,,,
ptc_to_ejc.CNOT4,object,True,5749,100.0,,,,
ptc_to_ejc.CPEB2,object,True,5749,100.0,,,,
ptc_to_ejc.CPEB4,object,True,5749,100.0,,,,
ptc_to_ejc.CSTF2,object,True,5749,100.0,,,,
ptc_to_ejc.DAZAP1,object,True,5749,100.0,,,,
ptc_to_ejc.ELAVL1,object,True,5749,100.0,,,,
ptc_to_ejc.ELAVL2,object,True,5749,100.0,,,,
ptc_to_ejc.ELAVL4,object,True,5749,100.0,,,,
ptc_to_ejc.ENOX1,object,True,5749,100.0,,,,
ptc_to_ejc.ESRP2,object,True,5749,100.0,,,,
ptc_to_ejc.FMR1,object,True,5749,100.0,,,,
ptc_to_ejc.FUS,object,True,5749,100.0,,,,
ptc_to_ejc.FXR1,object,True,5749,100.0,,,,
ptc_to_ejc.FXR2,object,True,5749,100.0,,,,
ptc_to_ejc.G3BP1,object,True,5749,100.0,,,,
ptc_to_ejc.G3BP2,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA1,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA1L2,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA2B1,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA3,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPAB,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPDL,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPF,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPH1,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPH2,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPH3,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPK,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPL,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPLL,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPM,object,True,5749,100.0,,,,
ptc_to_ejc.IFIH1,object,True,5749,100.0,,,,
ptc_to_ejc.IGF2BP1,object,True,5749,100.0,,,,
ptc_to_ejc.IGF2BP2,object,True,5749,100.0,,,,
ptc_to_ejc.IGF2BP3,object,True,5749,100.0,,,,
ptc_to_ejc.IGHMBP2,object,True,5749,100.0,,,,
ptc_to_ejc.KHDRBS1,object,True,5749,100.0,,,,
ptc_to_ejc.KHSRP,object,True,5749,100.0,,,,
ptc_to_ejc.LIN28A,object,True,5749,100.0,,,,
ptc_to_ejc.MATR3,object,True,5749,100.0,,,,
ptc_to_ejc.MBNL1,object,True,5749,100.0,,,,
ptc_to_ejc.NELFE,object,True,5749,100.0,,,,
ptc_to_ejc.NOVA1,object,True,5749,100.0,,,,
ptc_to_ejc.NOVA2,object,True,5749,100.0,,,,
ptc_to_ejc.PABPC1,object,True,5749,100.0,,,,
ptc_to_ejc.PABPC3,object,True,5749,100.0,,,,
ptc_to_ejc.PABPC5,object,True,5749,100.0,,,,
ptc_to_ejc.PABPN1,object,True,5749,100.0,,,,
ptc_to_ejc.PCBP1,object,True,5749,100.0,,,,
ptc_to_ejc.PCBP2,object,True,5749,100.0,,,,
ptc_to_ejc.PPRC1,object,True,5749,100.0,,,,
ptc_to_ejc.PTBP1,object,True,5749,100.0,,,,
ptc_to_ejc.PUM1,object,True,5749,100.0,,,,
ptc_to_ejc.QKI,object,True,5749,100.0,,,,
ptc_to_ejc.RALY,object,True,5749,100.0,,,,
ptc_to_ejc.RBFOX1,object,True,5749,100.0,,,,
ptc_to_ejc.RBM14,object,True,5749,100.0,,,,
ptc_to_ejc.RBM24,object,True,5749,100.0,,,,
ptc_to_ejc.RBM25,object,True,5749,100.0,,,,
ptc_to_ejc.RBM28,object,True,5749,100.0,,,,
ptc_to_ejc.RBM4,object,True,5749,100.0,,,,
ptc_to_ejc.RBM42,object,True,5749,100.0,,,,
ptc_to_ejc.RBM5,object,True,5749,100.0,,,,
ptc_to_ejc.RBM6,object,True,5749,100.0,,,,
ptc_to_ejc.RBM8A,object,True,5749,100.0,,,,
ptc_to_ejc.RBMS3,object,True,5749,100.0,,,,
ptc_to_ejc.RBMX,object,True,5749,100.0,,,,
ptc_to_ejc.RBMY1A1,object,True,5749,100.0,,,,
ptc_to_ejc.RC3H1,object,True,5749,100.0,,,,
ptc_to_ejc.SAMD4A,object,True,5749,100.0,,,,
ptc_to_ejc.SART3,object,True,5749,100.0,,,,
ptc_to_ejc.SF1,object,True,5749,100.0,,,,
ptc_to_ejc.SFPQ,object,True,5749,100.0,,,,
ptc_to_ejc.SNRPA,object,True,5749,100.0,,,,
ptc_to_ejc.SNRPB2,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF1,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF10,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF2,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF3,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF4,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF5,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF6,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF7,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF9,object,True,5749,100.0,,,,
ptc_to_ejc.TARDBP,object,True,5749,100.0,,,,
ptc_to_ejc.TIA1,object,True,5749,100.0,,,,
ptc_to_ejc.TIAL1,object,True,5749,100.0,,,,
ptc_to_ejc.TRA2A,object,True,5749,100.0,,,,
ptc_to_ejc.TRA2B,object,True,5749,100.0,,,,
ptc_to_ejc.TUT1,object,True,5749,100.0,,,,
ptc_to_ejc.U2AF2,object,True,5749,100.0,,,,
ptc_to_ejc.YBX1,object,True,5749,100.0,,,,
ptc_to_ejc.YBX2,object,True,5749,100.0,,,,
ptc_to_ejc.ZC3H10,object,True,5749,100.0,,,,
ptc_to_ejc.ZCRB1,object,True,5749,100.0,,,,
ptc_to_ejc.ZFP36,object,True,5749,100.0,,,,
ptc_to_ejc.ZRANB2,object,True,5749,100.0,,,,
newutr_all.A1CF,object,True,5749,100.0,,,,
newutr_all.AGO1,object,True,5749,100.0,,,,
newutr_all.AGO2,object,True,5749,100.0,,,,
newutr_all.AKAP1,object,True,5749,100.0,,,,
newutr_all.ANKHD1,object,True,5749,100.0,,,,
newutr_all.CELF1,object,True,5749,100.0,,,,
newutr_all.CELF4,object,True,5749,100.0,,,,
newutr_all.CELF5,object,True,5749,100.0,,,,
newutr_all.CELF6,object,True,5749,100.0,,,,
newutr_all.CNOT4,object,True,5749,100.0,,,,
newutr_all.CPEB2,object,True,5749,100.0,,,,
newutr_all.CPEB4,object,True,5749,100.0,,,,
newutr_all.CSTF2,object,True,5749,100.0,,,,
newutr_all.DAZAP1,object,True,5749,100.0,,,,
newutr_all.EIF4B,object,True,5749,100.0,,,,
newutr_all.ELAVL1,object,True,5749,100.0,,,,
newutr_all.ELAVL2,object,True,5749,100.0,,,,
newutr_all.ELAVL3,object,True,5749,100.0,,,,
newutr_all.ELAVL4,object,True,5749,100.0,,,,
newutr_all.ENOX1,object,True,5749,100.0,,,,
newutr_all.ERI1,object,True,5749,100.0,,,,
newutr_all.ESRP2,object,True,5749,100.0,,,,
newutr_all.FMR1,object,True,5749,100.0,,,,
newutr_all.FUS,object,True,5749,100.0,,,,
newutr_all.FXR1,object,True,5749,100.0,,,,
newutr_all.FXR2,object,True,5749,100.0,,,,
newutr_all.G3BP1,object,True,5749,100.0,,,,
